id,creditLimit,gender,edu,age,nDelay,billAmt1,billAmt2,billAmt3,billAmt4,billAmt5,billAmt6,default
1,4500,0,2,28,0,3915,3150,2475,2340,2385,2430,0
2,6000,0,2,24,0,2820,2700,2760,2400,2280,2280,1
3,3800,0,2,39,0,3572,3648,3762,2166,2204,2242,0
4,5500,1,1,27,0,5280,5445,5390,2585,2640,2695,1
5,18000,1,1,51,2,3780,3780,3780,1800,1620,720,0
6,6400,0,2,25,2,6208,6144,4096,2176,1024,640,0
7,23000,0,3,60,0,0,0,230,0,0,0,1
8,23000,0,1,29,1,0,0,0,0,0,0,0
9,19200,1,1,33,0,4800,3264,3264,2880,1728,1536,0
10,4500,0,3,44,0,1080,1305,1440,1620,1755,1980,0
11,12700,0,1,21,0,11303,6985,7112,1778,762,1270,0
12,16400,1,1,32,0,328,328,164,0,0,0,0
13,17100,0,1,30,0,171,684,171,342,855,342,0
14,8700,0,1,28,0,0,0,0,0,0,4176,0
15,4200,0,2,26,2,4116,4032,4074,2226,2184,2268,1
16,18200,0,1,45,0,3276,3094,3094,3094,3094,2912,0
17,6700,0,2,30,3,6499,6566,6432,6499,6767,6834,1
18,7900,1,3,38,0,3792,3634,3713,3081,3002,2923,0
19,7500,0,2,25,0,3000,3000,2400,2400,2475,2025,0
20,7100,0,1,36,0,4757,4899,4615,3479,3621,3692,0
21,5700,1,2,22,3,5700,5586,5700,5871,0,0,0
22,8600,0,3,62,0,4214,4300,4386,4386,4128,172,0
23,7300,0,1,26,0,0,0,0,73,0,0,0
24,25700,1,1,30,0,514,7196,0,0,514,771,0
25,10000,0,2,38,0,8500,8000,10000,9800,7400,7100,0
26,47000,1,2,33,0,26320,20210,7990,12220,-470,-940,0
27,5700,1,2,26,0,1083,342,0,0,0,0,0
28,8000,1,3,64,0,160,160,160,80,480,400,0
29,32700,1,1,23,0,981,0,327,1635,327,327,0
30,18000,0,1,26,0,0,0,540,180,0,0,0
31,8000,1,2,44,2,8080,7760,8000,7520,7680,7920,0
32,1800,1,1,57,0,954,1098,1512,1764,1800,1656,0
33,10800,0,2,29,0,10692,10908,10800,7776,3888,3780,1
34,18300,0,1,34,0,17934,17568,17934,16287,16653,17019,0
35,3300,1,2,43,3,2244,2475,2673,2607,2772,2706,1
36,5000,0,2,35,2,1150,1100,1000,1100,1150,1000,0
37,7100,1,4,30,0,6532,6603,6887,7029,7171,7313,0
38,38500,1,1,57,0,15400,15400,10780,10010,10395,9240,0
39,20900,0,1,25,0,209,627,836,1045,1045,1881,0
40,18600,0,2,32,0,372,930,2046,558,558,1116,1
41,1700,1,2,39,2,2142,2142,2125,1955,1938,1802,0
42,18200,0,1,34,0,0,0,0,0,0,0,1
43,18000,0,1,29,0,0,0,0,0,0,0,0
44,11500,0,3,44,0,230,230,115,115,115,230,0
45,4500,1,1,34,0,1845,2520,2025,1665,1485,1215,0
46,21700,1,2,30,0,36239,37107,37758,4123,1519,651,0
47,10800,1,3,41,0,10692,10908,11016,4752,5400,5616,0
48,5300,0,1,28,2,371,371,477,477,477,477,1
49,11700,0,1,33,0,117,0,0,234,351,0,0
50,10000,1,3,45,0,5300,4400,4500,4500,4600,4300,0
51,7500,1,2,36,0,3000,2400,2325,2475,3000,3225,0
52,4500,1,1,23,0,3105,3195,2880,2970,1620,1710,0
53,8000,1,1,36,2,6240,6400,6480,6560,6720,6800,1
54,12500,0,2,22,1,0,875,375,0,0,0,0
55,6000,0,2,29,0,5400,4740,3660,2820,2880,2940,0
56,9200,1,2,26,0,184,184,184,184,184,184,0
57,1700,0,1,24,2,1445,1394,1462,1564,1615,1632,0
58,14000,0,2,47,2,9520,9800,10080,10220,10780,10640,0
59,5400,0,1,32,0,2808,3132,3348,2862,2106,1836,0
60,41800,1,1,45,2,25916,26334,26752,27170,27588,27170,1
61,36900,0,3,41,0,4059,5904,5166,1476,1845,1107,0
62,21400,1,1,26,1,0,856,0,0,214,214,0
63,30000,1,1,47,0,0,1200,2700,1200,1200,1800,0
64,11700,0,2,24,0,702,351,351,351,351,351,0
65,16400,0,2,49,1,164,328,328,492,164,656,0
