CLAVE_BMV,RAZON_SOCIAL,YAHOO_TICKER,ESTADO
AC,"ARCA CONTINENTAL, S.A.B. DE C.V.",AC.MX,Activa
ACCELSA,"ACCEL, S.A.B. DE C.V.",ACCELSAB.MX,Muy iliquida
AERO,"GRUPO AEROMÉXICO, S.A.B. DE C.V.",AERO.MX,SUSPENDIDA
AGUA,"GRUPO ROTOPLAS, S.A.B. DE C.V.",AGUA.MX,Activa
AGUILAS,"OLLAMANI, S.A.B",AGUILASCPO.MX,Muy iliquida
ALPEK,"ALPEK, S.A.B. DE C.V.",ALPEKA.MX,Activa
ALTERNA,"ALTERNA ASESORIA INTERNACIONAL, S.A.B. DE C.V.",ALTERNAB.MX,Muy iliquida
ANB,ANHEUSER-BUSCH INBEV SA/NV,ANB.MX,Activa
ARA,"CONSORCIO ARA, S.A.B. DE C.V.",ARA.MX,Activa
ARISTOS,"CONSORCIO ARISTOS, S.A.B. DE C.V.",ARISTOSA.MX,Muy iliquida
AUTLAN,"COMPAÑIA MINERA AUTLAN, S.A.B. DE C. V.",AUTLANB.MX,Activa
AXTEL,"AXTEL, S.A.B. DE C.V.",AXTELCPO.MX,Activa
BEVIDES,"FARMACIAS BENAVIDES, S.A.B. DE C.V.",BEVIDESB.MX,Activa
BIMBO,"GRUPO BIMBO, S.A.B. DE C.V.",BIMBOA.MX,Activa
CABLE,"EMPRESAS CABLEVISION, S.A. DE C.V.",CABLECPO.MX,DESLISTADA
CADU,CORPOVAEL S.A.B. DE C.V.,CADUA.MX,Activa
CEMEX,"CEMEX, S.A.B. DE C.V.",CEMEXCPO.MX,Activa
CHDRAUI,"GRUPO COMERCIAL CHEDRAUI, S.A.B. DE C.V.",CHDRAUIB.MX,Activa
CIDMEGA,"GRUPE, S.A.B. DE C.V.",CIDMEGA.MX,Activa
CIE,"CORPORACION INTERAMERICANA DE ENTRETENIMIENTO, S.A.B. DE C.V.",CIEB.MX,Activa
CMOCTEZ,"CORPORACION MOCTEZUMA, S.A.B. DE C.V.",CMOCTEZ.MX,Activa
CONVER,"CONVERTIDORA INDUSTRIAL, S.A.B. DE C.V.",CONVERA.MX,Muy iliquida
CTAXTEL,"CONTROLADORA AXTEL, S.A.B. DE C.V.",CTAXTELA.MX,DESLISTADA
CUERVO,"BECLE, S.A.B. DE C.V.",CUERVO.MX,Activa
CULTIBA,"ORGANIZACIÓN CULTIBA, S.A.B. DE CV",CULTIBAB.MX,Activa
CYDSASA,"CYDSA, S.A.B. DE C.V.",CYDSASAA.MX,Activa
DINE,"DINE, S.A.B. DE C.V.",DINEB.MX,Iliquida
ESENTIA,"ESENTIA ENERGY DEVELOPMENT, S.A.B. DE C.V.",ESENTIAII.MX,Activa
FEMSA,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V.",FEMSAUBD.MX,Activa
FRAGUA,"CORPORATIVO FRAGUA, S.A.B. DE C.V.",FRAGUAB.MX,Activa
FRES,FRESNILLO PLC,FRES.MX,Activa
GAP,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V.",GAPB.MX,Activa
GAV,"ACOSTA VERDE, S.A.B. DE C.V.",GAVA.MX,Activa
GCC,"GCC, S.A.B. DE C.V.",GCC.MX,Activa
GICSA,"GRUPO GICSA, S.A.B. DE C.V.",GICSAB.MX,Activa
GIGANTE,"GRUPO GIGANTE, S.A.B. DE C.V.",GIGANTE.MX,Activa
GISSA,"GRUPO INDUSTRIAL SALTILLO, S.A.B. DE C.V.",GISSAA.MX,Activa
GMD,"GRUPO MEXICANO DE DESARROLLO, S.A.B.",GMD.MX,Muy iliquida
GMEXICO,"GRUPO MEXICO, S.A.B. DE C.V.",GMEXICOB.MX,Activa
GPH,"GRUPO PALACIO DE HIERRO, S.A.B. DE C.V.",GPH1.MX,Activa
GPROFUT,"GRUPO PROFUTURO, S.A.B. DE C.V.",GPROFUT.MX,Activa
GRUMA,"GRUMA, S.A.B. DE C.V.",GRUMAB.MX,Activa
HCITY,"PROMOTORA DE HOTELES NORTE 19, S.A.B. DE C.V.",HCITY.MX,Activa
HERDEZ,"GRUPO HERDEZ, S.A.B. DE C.V.",HERDEZ.MX,Activa
HOTEL,"GRUPO HOTELERO SANTA FE, S.A.B. DE C.V.",HOTEL.MX,Muy iliquida
ICH,"INDUSTRIAS CH, S.A.B. DE C.V.",ICHB.MX,Activa
IDEAL,"IMPULSORA DEL DESARROLLO Y EL EMPLEO EN AMERICA LATINA, S.A.B. DE C.V.",IDEALB-1.MX,Activa
KIMBER,KIMBERLY - CLARK DE MEXICO S.A.B. DE C.V.,KIMBERA.MX,Activa
KUO,"KUO, S.A.B. DE C.V.",KUOB.MX,Activa
LAB,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V.",LABB.MX,Activa
LACOMER,LA COMER S.A.B. DE C.V.,LACOMERUBC.MX,Activa
LAMOSA,"GRUPO LAMOSA, S.A.B. DE C.V.",LAMOSA.MX,Activa
LASITE,"SITIOS LATINOAMÉRICA, S.A.B. DE C.V.",LASITE.MX,Activa
MEDICA,"MEDICA SUR, S.A.B. DE C.V.",MEDICAB.MX,Activa
MEGA,"MEGACABLE HOLDINGS, S.A.B. DE C.V.",MEGACPO.MX,Activa
MFRISCO,"MINERA FRISCO, S.A.B. DE C.V.",MFRISCOA-1.MX,Activa
MINSA,"GRUPO MINSA, S.A.B. DE C.V.",MINSAB.MX,Activa
NEMAK,"NEMAK, S.A.B. DE C.V.",NEMAKA.MX,Activa
NUTRISA,"GRUPO NUTRISA, S.A.B. DE C.V.",NUTRISAA.MX,DESLISTADA
OMA,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V.",OMAB.MX,Activa
ORBIA,"ORBIA ADVANCE CORPORATION, S.A.B. DE C.V.",ORBIA.MX,Activa
PASA,"PROMOTORA AMBIENTAL, S.A.B. DE C.V.",PASAB.MX,Iliquida
PE&OLES,"INDUSTRIAS PEÑOLES, S. A.B. DE C. V.",PE&OLES.MX,Activa
PINFRA,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V.",PINFRA.MX,Activa
PLANI,"PLANIGRUPO LATAM, S.A.B. DE C.V.",PLANI.MX,Muy iliquida
POCHTEC,"GRUPO POCHTECA, S.A.B. DE C.V.",POCHTECB.MX,Activa
POSADAS,"GRUPO POSADAS, S.A.B. DE C.V.",POSADASA.MX,Activa
RCENTRO,"GRUPO RADIO CENTRO, S.A.B. DE C.V.",RCENTROA.MX,Iliquida
RLH,"RLH PROPERTIES, S.A.B. DE C.V.",RLHA.MX,Activa
SIMEC,"GRUPO SIMEC, S.A.B. DE C.V.",SIMECB.MX,Activa
SITES1,"OPERADORA DE SITES MEXICANOS, S.A.B. DE C.V.",SITES1A-1.MX,Activa
SORIANA,"ORGANIZACION SORIANA, S.A.B. DE C.V.",SORIANAB.MX,Activa
SPORT,"GRUPO SPORTS WORLD, S.A.B. DE C.V.",SPORTS.MX,Iliquida
TEAK,"PROTEAK UNO, S.A.B. DE C.V.",TEAKCPO.MX,Iliquida
TMM,"GRUPO TMM, S.A.",TMMA.MX,Iliquida
TRAXION,GRUPO TRAXIÓN S.A.B DE C.V.,TRAXIONA.MX,Activa
TS,TENARIS S.A.,TS.MX,Activa
UNIFIN,"UNIFIN FINANCIERA, S.A.B. DE C.V.",UNIFINA.MX,DEFAULT 2022
VASCONI,GRUPO VASCONIA S.A.B.,VASCONI.MX,Iliquida
VESTA,"CORPORACIÓN INMOBILIARIA VESTA, S.A.B. DE C.V.",VESTA.MX,Activa
VINTE,"VINTE VIVIENDAS INTEGRALES, S.A.B. DE C.V.",VINTE.MX,Activa
VISTA,"VISTA ENERGY, S.A.B. DE C.V.",VISTAA.MX,Activa
VITRO,"VITRO, S.A.B. DE C.V.",VITROA.MX,Activa
VOLAR,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V.",VOLARA.MX,Activa
WALMEX,"WAL - MART DE MEXICO, S.A.B. DE C.V.",WALMEX.MX,Activa
